"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"6953407","01/01/2015 08:20:08 AM","FATS011299","WSULLIVAN","IRM001A","Fat","PCT_M-M","27.266510356"
"6953414","01/01/2015 08:24:57 AM","FATS011299","WSULLIVAN","IRM001A","Fat","PCT_M-M","27.564481197"
"6954312","01/01/2015 01:44:26 PM","FATS011299","SPERERA","IRM001A","Fat","PCT_M-M","27.2589141"
"6954313","01/01/2015 01:47:44 PM","FATS011299","SPERERA","IRM001A","Fat","PCT_M-M","27.490272374"
"6954749","02/01/2015 06:49:40 AM","FATS011299","AVERAT","IRM001A","Fat","PCT_M-M","27.498323273"
"6955465","02/01/2015 09:54:58 AM","FATS011299","UPKOSAKUL","IRM001A","Fat","PCT_M-M","27.504465011"
"6955811","02/01/2015 11:21:02 AM","FATS011299","DSIM","IRM001A","Fat","PCT_M-M","27.359267735"
"6957055","03/01/2015 09:13:57 AM","FATS011299","JLUAK","IRM001A","Fat","PCT_M-M","27.595831783"
"6957059","03/01/2015 09:17:19 AM","FATS011299","JLUAK","IRM001A","Fat","PCT_M-M","27.648215791"
"6958228","04/01/2015 08:38:46 AM","FATS011299","JLUAK","IRM001A","Fat","PCT_M-M","27.52293578"
"6958234","04/01/2015 08:46:07 AM","FATS011299","JLUAK","IRM001A","Fat","PCT_M-M","27.421743853"
"6959405","05/01/2015 05:51:52 AM","FATS011299","EGRIFFIN","IRM001A","Fat","PCT_M-M","27.67830646"
"6959411","05/01/2015 05:55:04 AM","FATS011299","EGRIFFIN","IRM001A","Fat","PCT_M-M","27.437868051"
"6959441","05/01/2015 06:51:02 AM","FATS011299","AVERAT","IRM001A","Fat","PCT_M-M","27.611116685"
"6959715","05/01/2015 08:53:00 AM","FATS011299","JPATEL","IRM001A","Fat","PCT_M-M","27.486767658"
"6959723","05/01/2015 08:54:27 AM","FATS011299","JPATEL","IRM001A","Fat","PCT_M-M","27.681956027"
"6960762","05/01/2015 01:02:38 PM","FATS011299","AXING","IRM001A","Fat","PCT_M-M","27.710961181"
"6960774","05/01/2015 01:05:23 PM","FATS011299","AXING","IRM001A","Fat","PCT_M-M","27.361436378"
"6960892","05/01/2015 01:41:22 PM","FATS011299","SPERERA","IRM001A","Fat","PCT_M-M","27.861792689"
"6960906","05/01/2015 01:44:54 PM","FATS011299","SPERERA","IRM001A","Fat","PCT_M-M","27.610094013"
"6962159","06/01/2015 08:07:29 AM","FATS011299","JPATEL","IRM001A","Fat","PCT_M-M","27.415647697"
"6962160","06/01/2015 08:08:17 AM","FATS011299","JBHONGIR","IRM001A","Fat","PCT_M-M","27.468230694"
"6962207","06/01/2015 08:13:53 AM","FATS011299","JPATEL","IRM001A","Fat","PCT_M-M","27.434223161"
"6962212","06/01/2015 08:17:23 AM","FATS011299","JBHONGIR","IRM001A","Fat","PCT_M-M","27.528348852"
"6963721","06/01/2015 11:56:43 AM","FATS011299","AVERAT","IRM001A","Fat","PCT_M-M","27.443571642"
"6963731","06/01/2015 12:00:30 PM","FATS011299","AVERAT","IRM001A","Fat","PCT_M-M","27.457693436"
"6964008","06/01/2015 01:01:53 PM","FATS011299","SPERERA","IRM001A","Fat","PCT_M-M","27.89733465"
"6964047","06/01/2015 01:05:34 PM","FATS011299","SPERERA","IRM001A","Fat","PCT_M-M","27.772551479"
"6965906","07/01/2015 06:50:34 AM","FATS011299","AVERAT","IRM001A","Fat","PCT_M-M","27.741677497"
"6965910","07/01/2015 06:51:15 AM","FATS011299","AVERAT","IRM001A","Fat","PCT_M-M","27.467253275"
"6965956","07/01/2015 07:03:48 AM","FATS011299","DSIM","IRM001A","Fat","PCT_M-M","27.726358149"
"6965958","07/01/2015 07:05:42 AM","FATS011299","DSIM","IRM001A","Fat","PCT_M-M","27.677873339"
"6966350","07/01/2015 09:03:53 AM","FATS011299","JPATEL","IRM001A","Fat","PCT_M-M","27.60637796"
"6966389","07/01/2015 09:11:51 AM","FATS011299","JPATEL","IRM001A","Fat","PCT_M-M","27.623105122"
"6967990","07/01/2015 12:46:04 PM","FATS011299","AXING","IRM001A","Fat","PCT_M-M","27.328638032"
"6968042","07/01/2015 12:49:45 PM","FATS011299","AXING","IRM001A","Fat","PCT_M-M","27.242130271"
"6968525","07/01/2015 02:36:55 PM","FATS011299","DSWINDEN","IRM001A","Fat","PCT_M-M","27.386495925"
"6968526","07/01/2015 02:37:05 PM","FATS011299","DSWINDEN","IRM001A","Fat","PCT_M-M","27.431715465"
