Sample,Method,Control,Analyte,Units,Result,Outlier
4720469,OES,SRM75F_CL,Copper,MG_P_KG,4.0537,No
4720469,OES,SRM75F_CL,Zinc,MG_P_KG,43.9017,No
4720469,OES,SRM75F_CL,Potassium,PCT_M-M,0.7662,No
4720469,OES,SRM75F_CL,Iron,MG_P_KG,92.8581,No
4724937,MS,SRM75F_CL,Magnesium,PCT_M-M,0.0545,No
4724937,MS,SRM75F_CL,Sodium,PCT_M-M,0.171,No
4724937,MS,SRM75F_CL,Phosphorus,PCT_M-M,0.4025,No
4724937,MS,SRM75F_CL,Calcium,PCT_M-M,0.543,No
4724937,MS,SRM75F_CL,Copper,MG_P_KG,5.25,No
4724937,MS,SRM75F_CL,Zinc,MG_P_KG,48.07,No
4724937,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0545,No
4724937,OES,SRM75F_CL,Sodium,PCT_M-M,0.171,No
4724937,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.398,No
4724937,OES,SRM75F_CL,Calcium,PCT_M-M,0.537,No
4724937,OES,SRM75F_CL,Copper,MG_P_KG,5.33,No
4724937,OES,SRM75F_CL,Zinc,MG_P_KG,48,No
4724937,MS,SRM75F_CL,Potassium,PCT_M-M,0.774,No
4724937,OES,SRM75F_CL,Potassium,PCT_M-M,0.774,No
4724937,MS,SRM75F_CL,Iron,MG_P_KG,96.5,No
4724937,OES,SRM75F_CL,Iron,MG_P_KG,98,No
4729885,MS,SRM75F_CL,Magnesium,PCT_M-M,0.0526,No
4729885,MS,SRM75F_CL,Sodium,PCT_M-M,0.1636,No
4729885,MS,SRM75F_CL,Phosphorus,PCT_M-M,0.3699,No
4729885,MS,SRM75F_CL,Calcium,PCT_M-M,0.5272,No
4729885,MS,SRM75F_CL,Copper,MG_P_KG,5.42,No
4729885,MS,SRM75F_CL,Zinc,MG_P_KG,43.98,No
4729885,MS,SRM75F_CL,Potassium,PCT_M-M,0.7892,No
4729885,MS,SRM75F_CL,Iron,MG_P_KG,100.09,No
4730083,OES,SRM75F_CL,Magnesium,PCT_M-M,0.056,No
4730083,OES,SRM75F_CL,Sodium,PCT_M-M,0.18,No
4730083,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.4,No
4730083,OES,SRM75F_CL,Calcium,PCT_M-M,0.51,No
4730083,OES,SRM75F_CL,Copper,MG_P_KG,3.8,No
4730083,OES,SRM75F_CL,Zinc,MG_P_KG,51.5,No
4730083,OES,SRM75F_CL,Potassium,PCT_M-M,0.78,No
4730083,OES,SRM75F_CL,Iron,MG_P_KG,97.1,No
4731991,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0562,No
4731991,OES,SRM75F_CL,Sodium,PCT_M-M,0.201,No
4731991,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3725,No
4731991,OES,SRM75F_CL,Calcium,PCT_M-M,0.5585,No
4731991,OES,SRM75F_CL,Copper,MG_P_KG,4.3468,No
4731991,OES,SRM75F_CL,Zinc,MG_P_KG,44.3554,No
4731991,OES,SRM75F_CL,Potassium,PCT_M-M,0.8113,No
4731991,OES,SRM75F_CL,Iron,MG_P_KG,93.5266,No
4733082,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0549,No
4733082,OES,SRM75F_CL,Sodium,PCT_M-M,0.2055,No
4733082,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3862,No
4733082,OES,SRM75F_CL,Calcium,PCT_M-M,0.5533,No
4733082,OES,SRM75F_CL,Copper,MG_P_KG,4.2582,No
4733082,OES,SRM75F_CL,Zinc,MG_P_KG,43.2202,No
4733082,OES,SRM75F_CL,Iron,MG_P_KG,92.7143,No
4733082,OES,SRM75F_CL,Potassium,PCT_M-M,0.8483,No
4738275,OES,SRM75F_CL,Potassium,PCT_M-M,0.6477,No
4738275,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0503,No
4738275,OES,SRM75F_CL,Sodium,PCT_M-M,0.187,No
4738275,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3285,No
4738275,OES,SRM75F_CL,Calcium,PCT_M-M,0.496,No
4738275,OES,SRM75F_CL,Copper,MG_P_KG,3.7592,No
4738275,OES,SRM75F_CL,Zinc,MG_P_KG,39.5298,No
4738275,OES,SRM75F_CL,Iron,MG_P_KG,83.2217,No
4738714,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0479,No
4738714,OES,SRM75F_CL,Sodium,PCT_M-M,0.1983,No
4738714,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3412,No
4738714,OES,SRM75F_CL,Calcium,PCT_M-M,0.4885,No
4738714,OES,SRM75F_CL,Copper,MG_P_KG,3.672,No
4738714,OES,SRM75F_CL,Zinc,MG_P_KG,37.2554,No
4738714,OES,SRM75F_CL,Potassium,PCT_M-M,0.6851,No
4738714,OES,SRM75F_CL,Iron,MG_P_KG,80.1597,No
4742027,OES,SRM75F_CL,Potassium,PCT_M-M,0.6154,No
4742027,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0427,No
4742027,OES,SRM75F_CL,Sodium,PCT_M-M,0.1646,No
4742027,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.2948,No
