Sample,Method,Control,Analyte,Units,Result,Outlier
4995848,OES,SRM75F_CL,Sodium,PCT_M-M,0.1968,No
4995848,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3602,No
4995848,OES,SRM75F_CL,Calcium,PCT_M-M,0.5216,No
4995848,OES,SRM75F_CL,Copper,MG_P_KG,4.0176,No
4995848,OES,SRM75F_CL,Zinc,MG_P_KG,41.1195,No
4995848,OES,SRM75F_CL,Iron,MG_P_KG,87.4662,No
4995848,OES,SRM75F_CL,Potassium,PCT_M-M,0.7375,No
4996407,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0528,No
4996407,OES,SRM75F_CL,Sodium,PCT_M-M,0.1972,No
4996407,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3613,No
4996407,OES,SRM75F_CL,Calcium,PCT_M-M,0.5229,No
4996407,OES,SRM75F_CL,Copper,MG_P_KG,4.0173,No
4996407,OES,SRM75F_CL,Zinc,MG_P_KG,41.4678,No
4996407,OES,SRM75F_CL,Iron,MG_P_KG,87.2437,No
4996407,OES,SRM75F_CL,Potassium,PCT_M-M,0.7601,No
4999203,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0548,No
4999203,OES,SRM75F_CL,Sodium,PCT_M-M,0.2026,No
4999203,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.372,No
4999203,OES,SRM75F_CL,Calcium,PCT_M-M,0.5401,No
4999203,OES,SRM75F_CL,Copper,MG_P_KG,4.2387,No
4999203,OES,SRM75F_CL,Zinc,MG_P_KG,42.1543,No
4999203,OES,SRM75F_CL,Iron,MG_P_KG,90.8071,No
4999203,OES,SRM75F_CL,Potassium,PCT_M-M,0.7815,No
4999869,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0553,No
4999869,OES,SRM75F_CL,Sodium,PCT_M-M,0.2064,No
4999869,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3727,No
4999869,OES,SRM75F_CL,Calcium,PCT_M-M,0.5502,No
4999869,OES,SRM75F_CL,Copper,MG_P_KG,4.1125,No
4999869,OES,SRM75F_CL,Zinc,MG_P_KG,42.4966,No
4999869,OES,SRM75F_CL,Potassium,PCT_M-M,0.727,No
4999869,OES,SRM75F_CL,Iron,MG_P_KG,91.6385,No
5001895,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0564,No
5001895,OES,SRM75F_CL,Sodium,PCT_M-M,0.2077,No
5001895,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3822,No
5001895,OES,SRM75F_CL,Calcium,PCT_M-M,0.5532,No
5001895,OES,SRM75F_CL,Copper,MG_P_KG,4.2929,No
5001895,OES,SRM75F_CL,Zinc,MG_P_KG,43.8507,No
5001895,OES,SRM75F_CL,Potassium,PCT_M-M,0.7855,No
5001895,OES,SRM75F_CL,Iron,MG_P_KG,91.8302,No
5003859,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0562,No
5003859,OES,SRM75F_CL,Sodium,PCT_M-M,0.189,No
5003859,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3667,No
5003859,OES,SRM75F_CL,Calcium,PCT_M-M,0.5524,No
5003859,OES,SRM75F_CL,Copper,MG_P_KG,4.4141,No
5003859,OES,SRM75F_CL,Zinc,MG_P_KG,44.7137,No
5003859,OES,SRM75F_CL,Potassium,PCT_M-M,0.7789,No
5003859,OES,SRM75F_CL,Iron,MG_P_KG,92.46,No
5004029,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0561,No
5004029,OES,SRM75F_CL,Sodium,PCT_M-M,0.1877,No
5004029,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3662,No
5004029,OES,SRM75F_CL,Calcium,PCT_M-M,0.5588,No
5004029,OES,SRM75F_CL,Copper,MG_P_KG,4.1818,No
5004029,OES,SRM75F_CL,Zinc,MG_P_KG,42.9271,No
5004029,OES,SRM75F_CL,Iron,MG_P_KG,92.4044,No
5004029,OES,SRM75F_CL,Potassium,PCT_M-M,0.8035,No
5006411,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0556,No
5006411,OES,SRM75F_CL,Sodium,PCT_M-M,0.2057,No
5006411,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3697,No
5006411,OES,SRM75F_CL,Calcium,PCT_M-M,0.5481,No
5006411,OES,SRM75F_CL,Copper,MG_P_KG,4.1865,No
5006411,OES,SRM75F_CL,Zinc,MG_P_KG,43.5762,No
5006411,OES,SRM75F_CL,Iron,MG_P_KG,92.4447,No
5006411,OES,SRM75F_CL,Potassium,PCT_M-M,0.8128,No
5007182,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.36,No
5007182,OES,SRM75F_CL,Calcium,PCT_M-M,0.53,No
5007433,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0562,No
5007433,OES,SRM75F_CL,Sodium,PCT_M-M,0.1873,No
5007433,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3619,No
5007433,OES,SRM75F_CL,Calcium,PCT_M-M,0.562,No
5007433,OES,SRM75F_CL,Copper,MG_P_KG,4.0571,No
5007433,OES,SRM75F_CL,Zinc,MG_P_KG,43.2345,No
5007433,OES,SRM75F_CL,Potassium,PCT_M-M,0.7734,No
5007433,OES,SRM75F_CL,Iron,MG_P_KG,92.1555,No
5007510,OES,SRM75F_CL,Magnesium,PCT_M-M,0.055,No
5007510,OES,SRM75F_CL,Sodium,PCT_M-M,0.2035,No
5007510,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3698,No
5007510,OES,SRM75F_CL,Calcium,PCT_M-M,0.5445,No
5007510,OES,SRM75F_CL,Copper,MG_P_KG,4.2745,No
5007510,OES,SRM75F_CL,Zinc,MG_P_KG,43.1695,No
5007510,OES,SRM75F_CL,Iron,MG_P_KG,90.4393,No
5007510,OES,SRM75F_CL,Potassium,PCT_M-M,0.8117,No
5011334,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0536,No
5011334,OES,SRM75F_CL,Sodium,PCT_M-M,0.1961,No
5011334,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3604,No
5011334,OES,SRM75F_CL,Calcium,PCT_M-M,0.5269,No
5011334,OES,SRM75F_CL,Copper,MG_P_KG,3.9998,No
5011334,OES,SRM75F_CL,Zinc,MG_P_KG,41.8217,No
5011334,OES,SRM75F_CL,Iron,MG_P_KG,88.5627,No
5011334,OES,SRM75F_CL,Potassium,PCT_M-M,0.7683,No
5012812,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0529,No
5012812,OES,SRM75F_CL,Sodium,PCT_M-M,0.191,No
5012812,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3529,No
5012812,OES,SRM75F_CL,Calcium,PCT_M-M,0.5322,No
5012812,OES,SRM75F_CL,Copper,MG_P_KG,4.1335,No
5012812,OES,SRM75F_CL,Zinc,MG_P_KG,40.9419,No
5012812,OES,SRM75F_CL,Iron,MG_P_KG,88.3987,No
5012812,OES,SRM75F_CL,Potassium,PCT_M-M,0.8156,No
5014699,OES,SRM75F_CL,Magnesium,PCT_M-M,0.055,No
5014699,OES,SRM75F_CL,Sodium,PCT_M-M,0.2018,No
5014699,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3641,No
5014699,OES,SRM75F_CL,Calcium,PCT_M-M,0.5394,No
5014699,OES,SRM75F_CL,Copper,MG_P_KG,4.0458,No
5014699,OES,SRM75F_CL,Zinc,MG_P_KG,43.0281,No
5014699,OES,SRM75F_CL,Potassium,PCT_M-M,0.7659,No
5014699,OES,SRM75F_CL,Iron,MG_P_KG,90.6253,No
5014880,OES,SRM75F_CL,Potassium,PCT_M-M,0.7157,No
5014880,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0535,No
5014880,OES,SRM75F_CL,Sodium,PCT_M-M,0.1917,No
5014880,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3589,No
5014880,OES,SRM75F_CL,Calcium,PCT_M-M,0.5381,No
5014880,OES,SRM75F_CL,Copper,MG_P_KG,4.0358,No
5014880,OES,SRM75F_CL,Zinc,MG_P_KG,41.1094,No
5014880,OES,SRM75F_CL,Iron,MG_P_KG,89.2565,No
5016008,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0577,No
5016008,OES,SRM75F_CL,Sodium,PCT_M-M,0.2084,No
5016008,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.363,No
5016008,OES,SRM75F_CL,Calcium,PCT_M-M,0.5682,No
5016008,OES,SRM75F_CL,Copper,MG_P_KG,4.3512,No
5016008,OES,SRM75F_CL,Zinc,MG_P_KG,44.7299,No
5016008,OES,SRM75F_CL,Potassium,PCT_M-M,0.7771,No
5016008,OES,SRM75F_CL,Iron,MG_P_KG,94.9488,No
5016178,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0564,No
5016178,OES,SRM75F_CL,Sodium,PCT_M-M,0.2141,No
5016178,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3711,No
5016178,OES,SRM75F_CL,Calcium,PCT_M-M,0.5563,No
5016178,OES,SRM75F_CL,Copper,MG_P_KG,4.3801,No
5016178,OES,SRM75F_CL,Zinc,MG_P_KG,43.6031,No
5016178,OES,SRM75F_CL,Iron,MG_P_KG,92.8099,No
5016178,OES,SRM75F_CL,Potassium,PCT_M-M,0.8076,No
5018329,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0571,No
5018329,OES,SRM75F_CL,Sodium,PCT_M-M,0.1959,No
5018329,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3584,No
5018329,OES,SRM75F_CL,Calcium,PCT_M-M,0.565,No
5018329,OES,SRM75F_CL,Copper,MG_P_KG,4.4707,No
5018329,OES,SRM75F_CL,Zinc,MG_P_KG,44.6891,No
5018329,OES,SRM75F_CL,Potassium,PCT_M-M,0.7779,No
5018329,OES,SRM75F_CL,Iron,MG_P_KG,94.2105,No
5021275,OES,SRM75F_CL,Potassium,PCT_M-M,0.628,No
5021275,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0553,No
5021275,OES,SRM75F_CL,Sodium,PCT_M-M,0.1995,No
5021275,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3682,No
5021275,OES,SRM75F_CL,Calcium,PCT_M-M,0.5409,No
5021275,OES,SRM75F_CL,Copper,MG_P_KG,4.1435,No
5021275,OES,SRM75F_CL,Zinc,MG_P_KG,43.1164,No
5021275,OES,SRM75F_CL,Iron,MG_P_KG,92.9248,No
5022349,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0564,No
5022349,OES,SRM75F_CL,Sodium,PCT_M-M,0.2076,No
5022349,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.38,No
5022349,OES,SRM75F_CL,Calcium,PCT_M-M,0.5547,No
5022349,OES,SRM75F_CL,Copper,MG_P_KG,4.3544,No
5022349,OES,SRM75F_CL,Zinc,MG_P_KG,44.1539,No
5022349,OES,SRM75F_CL,Iron,MG_P_KG,92.9709,No
5022349,OES,SRM75F_CL,Potassium,PCT_M-M,0.8197,No
5024434,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0572,No
5024434,OES,SRM75F_CL,Sodium,PCT_M-M,0.2114,No
5024434,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3864,No
5024434,OES,SRM75F_CL,Calcium,PCT_M-M,0.5658,No
5024434,OES,SRM75F_CL,Copper,MG_P_KG,4.3888,No
5024434,OES,SRM75F_CL,Zinc,MG_P_KG,44.8167,No
5024434,OES,SRM75F_CL,Potassium,PCT_M-M,0.813,No
5024434,OES,SRM75F_CL,Iron,MG_P_KG,95.6324,No
5026999,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0547,No
5026999,OES,SRM75F_CL,Sodium,PCT_M-M,0.2047,No
5026999,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3607,No
5026999,OES,SRM75F_CL,Calcium,PCT_M-M,0.5411,No
5026999,OES,SRM75F_CL,Copper,MG_P_KG,4.1957,No
5026999,OES,SRM75F_CL,Zinc,MG_P_KG,42.8307,No
5026999,OES,SRM75F_CL,Iron,MG_P_KG,90.7647,No
5026999,OES,SRM75F_CL,Potassium,PCT_M-M,0.8028,No
5027869,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0538,No
5027869,OES,SRM75F_CL,Sodium,PCT_M-M,0.2011,No
5027869,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3539,No
5027869,OES,SRM75F_CL,Calcium,PCT_M-M,0.5367,No
5027869,OES,SRM75F_CL,Copper,MG_P_KG,4.1019,No
5027869,OES,SRM75F_CL,Zinc,MG_P_KG,42.36,No
5027869,OES,SRM75F_CL,Iron,MG_P_KG,88.1609,No
5027869,OES,SRM75F_CL,Potassium,PCT_M-M,0.7855,No
5029990,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0538,No
5029990,OES,SRM75F_CL,Sodium,PCT_M-M,0.192,No
5029990,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.353,No
5029990,OES,SRM75F_CL,Calcium,PCT_M-M,0.53,No
5029990,OES,SRM75F_CL,Copper,MG_P_KG,3.96,No
5029990,OES,SRM75F_CL,Zinc,MG_P_KG,41.9,No
5029990,OES,SRM75F_CL,Iron,MG_P_KG,89.5,No
5029990,OES,SRM75F_CL,Potassium,PCT_M-M,0.812,No
5036122,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0541,No
5036122,OES,SRM75F_CL,Sodium,PCT_M-M,0.1809,No
5036122,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3547,No
5036122,OES,SRM75F_CL,Calcium,PCT_M-M,0.5386,No
5036122,OES,SRM75F_CL,Copper,MG_P_KG,3.9271,No
5036122,OES,SRM75F_CL,Zinc,MG_P_KG,42.2706,No
5036122,OES,SRM75F_CL,Potassium,PCT_M-M,0.7374,No
5036122,OES,SRM75F_CL,Iron,MG_P_KG,89.8653,No
5037635,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0541,No
5037635,OES,SRM75F_CL,Sodium,PCT_M-M,0.1849,No
5037635,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3533,No
5037635,OES,SRM75F_CL,Calcium,PCT_M-M,0.5431,No
5037635,OES,SRM75F_CL,Copper,MG_P_KG,3.8935,No
5037635,OES,SRM75F_CL,Zinc,MG_P_KG,42.1608,No
5037635,OES,SRM75F_CL,Potassium,PCT_M-M,0.7326,No
5037635,OES,SRM75F_CL,Iron,MG_P_KG,90.7205,No
5041577,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0588,No
5041577,OES,SRM75F_CL,Sodium,PCT_M-M,0.1992,No
5041577,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.378,No
5041577,OES,SRM75F_CL,Calcium,PCT_M-M,0.5793,No
5041577,OES,SRM75F_CL,Copper,MG_P_KG,4.4201,No
5041577,OES,SRM75F_CL,Zinc,MG_P_KG,46.1638,No
5041577,OES,SRM75F_CL,Potassium,PCT_M-M,0.8033,No
5041577,OES,SRM75F_CL,Iron,MG_P_KG,97.1091,No
5042421,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0594,No
5042421,OES,SRM75F_CL,Sodium,PCT_M-M,0.2154,No
5042421,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3802,No
5042421,OES,SRM75F_CL,Calcium,PCT_M-M,0.5943,No
5042421,OES,SRM75F_CL,Copper,MG_P_KG,4.4709,No
5042421,OES,SRM75F_CL,Zinc,MG_P_KG,45.9797,No
5042421,OES,SRM75F_CL,Potassium,PCT_M-M,0.8308,No
5042421,OES,SRM75F_CL,Iron,MG_P_KG,98.9299,No
5043465,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0548,No
5043465,OES,SRM75F_CL,Sodium,PCT_M-M,0.1982,No
5043465,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3609,No
5043465,OES,SRM75F_CL,Calcium,PCT_M-M,0.5402,No
5043465,OES,SRM75F_CL,Copper,MG_P_KG,3.6183,No
5043465,OES,SRM75F_CL,Zinc,MG_P_KG,42.5194,No
5043465,OES,SRM75F_CL,Iron,MG_P_KG,91.1284,No
5043465,OES,SRM75F_CL,Potassium,PCT_M-M,0.7837,No
5043974,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0566,No
5043974,OES,SRM75F_CL,Sodium,PCT_M-M,0.1982,No
5043974,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3615,No
5043974,OES,SRM75F_CL,Calcium,PCT_M-M,0.5702,No
5043974,OES,SRM75F_CL,Copper,MG_P_KG,4.0293,No
5043974,OES,SRM75F_CL,Zinc,MG_P_KG,43.8052,No
5043974,OES,SRM75F_CL,Potassium,PCT_M-M,0.7499,No
5043974,OES,SRM75F_CL,Iron,MG_P_KG,93.1204,No
5046611,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0544,No
5046611,OES,SRM75F_CL,Sodium,PCT_M-M,0.1972,No
5046611,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3538,No
5046611,OES,SRM75F_CL,Calcium,PCT_M-M,0.5452,No
5046611,OES,SRM75F_CL,Copper,MG_P_KG,3.6278,No
5046611,OES,SRM75F_CL,Zinc,MG_P_KG,42.0681,No
5046611,OES,SRM75F_CL,Potassium,PCT_M-M,0.7793,No
5046611,OES,SRM75F_CL,Iron,MG_P_KG,91.3949,No
5049829,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0566,No
5049829,OES,SRM75F_CL,Sodium,PCT_M-M,0.2004,No
5049829,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3602,No
5049829,OES,SRM75F_CL,Calcium,PCT_M-M,0.563,No
5049829,OES,SRM75F_CL,Copper,MG_P_KG,4.1663,No
5049829,OES,SRM75F_CL,Zinc,MG_P_KG,44.4757,No
5049829,OES,SRM75F_CL,Potassium,PCT_M-M,0.8161,No
5049829,OES,SRM75F_CL,Iron,MG_P_KG,94.4338,No
5049879,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0556,No
5049879,OES,SRM75F_CL,Sodium,PCT_M-M,0.2005,No
5049879,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.367,No
5049879,OES,SRM75F_CL,Calcium,PCT_M-M,0.5514,No
5049879,OES,SRM75F_CL,Copper,MG_P_KG,4.1238,No
5049879,OES,SRM75F_CL,Zinc,MG_P_KG,43.4868,No
5049879,OES,SRM75F_CL,Iron,MG_P_KG,91.8944,No
5049879,OES,SRM75F_CL,Potassium,PCT_M-M,0.8208,No
5054672,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0548,No
5054672,OES,SRM75F_CL,Sodium,PCT_M-M,0.1944,No
5054672,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3454,No
5054672,OES,SRM75F_CL,Calcium,PCT_M-M,0.5679,No
5054672,OES,SRM75F_CL,Copper,MG_P_KG,4.057,No
5054672,OES,SRM75F_CL,Zinc,MG_P_KG,42.1357,No
5054672,OES,SRM75F_CL,Potassium,PCT_M-M,0.7785,No
5054672,OES,SRM75F_CL,Iron,MG_P_KG,92.4754,No
5057316,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0553,No
5057316,OES,SRM75F_CL,Sodium,PCT_M-M,0.1937,No
5057316,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3519,No
5057316,OES,SRM75F_CL,Calcium,PCT_M-M,0.542,No
5057316,OES,SRM75F_CL,Copper,MG_P_KG,3.908,No
5057316,OES,SRM75F_CL,Zinc,MG_P_KG,43.3421,No
5057316,OES,SRM75F_CL,Iron,MG_P_KG,90.147,No
5057316,OES,SRM75F_CL,Potassium,PCT_M-M,0.8025,No
5058215,OES,SRM75F_CL,Magnesium,PCT_M-M,0.057,No
5058215,OES,SRM75F_CL,Sodium,PCT_M-M,0.202,No
5058215,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3768,No
5058215,OES,SRM75F_CL,Calcium,PCT_M-M,0.565,No
5058215,OES,SRM75F_CL,Copper,MG_P_KG,4.2299,No
5058215,OES,SRM75F_CL,Zinc,MG_P_KG,44.2258,No
5058215,OES,SRM75F_CL,Potassium,PCT_M-M,0.752,No
5058215,OES,SRM75F_CL,Iron,MG_P_KG,94.2471,No
5062163,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0569,No
5062163,OES,SRM75F_CL,Sodium,PCT_M-M,0.2064,No
5062163,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3784,No
5062163,OES,SRM75F_CL,Calcium,PCT_M-M,0.5639,No
5062163,OES,SRM75F_CL,Copper,MG_P_KG,4.2435,No
5062163,OES,SRM75F_CL,Zinc,MG_P_KG,44.8674,No
5062163,OES,SRM75F_CL,Potassium,PCT_M-M,0.743,No
5062163,OES,SRM75F_CL,Iron,MG_P_KG,94.7774,No
5062378,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0557,No
5062378,OES,SRM75F_CL,Sodium,PCT_M-M,0.1983,No
5062378,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3623,No
5062378,OES,SRM75F_CL,Calcium,PCT_M-M,0.5514,No
5062378,OES,SRM75F_CL,Copper,MG_P_KG,4.1891,No
5062378,OES,SRM75F_CL,Zinc,MG_P_KG,43.1868,No
5062378,OES,SRM75F_CL,Iron,MG_P_KG,91.7636,No
5062378,OES,SRM75F_CL,Potassium,PCT_M-M,0.8039,No
5062566,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0561,No
5062566,OES,SRM75F_CL,Sodium,PCT_M-M,0.1996,No
5062566,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3619,No
5062566,OES,SRM75F_CL,Calcium,PCT_M-M,0.5584,No
5062566,OES,SRM75F_CL,Copper,MG_P_KG,4.0246,No
5062566,OES,SRM75F_CL,Zinc,MG_P_KG,44.1566,No
5062566,OES,SRM75F_CL,Iron,MG_P_KG,92.1695,No
5062566,OES,SRM75F_CL,Potassium,PCT_M-M,0.8091,No
5062757,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0559,No
5062757,OES,SRM75F_CL,Sodium,PCT_M-M,0.1976,No
5062757,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.36,No
5062757,OES,SRM75F_CL,Calcium,PCT_M-M,0.5734,No
5062757,OES,SRM75F_CL,Copper,MG_P_KG,4.2112,No
5062757,OES,SRM75F_CL,Zinc,MG_P_KG,43.0023,No
5062757,OES,SRM75F_CL,Potassium,PCT_M-M,0.7693,No
5062757,OES,SRM75F_CL,Iron,MG_P_KG,93.0642,No
5064035,OES,SRM75F_CL,Magnesium,PCT_M-M,0.055,No
5064035,OES,SRM75F_CL,Sodium,PCT_M-M,0.1962,No
5064035,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3589,No
5064035,OES,SRM75F_CL,Calcium,PCT_M-M,0.5477,No
5064035,OES,SRM75F_CL,Copper,MG_P_KG,4.1234,No
5064035,OES,SRM75F_CL,Zinc,MG_P_KG,43.4705,No
5064035,OES,SRM75F_CL,Potassium,PCT_M-M,0.7816,No
5064035,OES,SRM75F_CL,Iron,MG_P_KG,91.3956,No
5064757,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0556,No
5064757,OES,SRM75F_CL,Sodium,PCT_M-M,0.1997,No
5064757,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3573,No
5064757,OES,SRM75F_CL,Calcium,PCT_M-M,0.5556,No
5064757,OES,SRM75F_CL,Copper,MG_P_KG,4.205,No
5064757,OES,SRM75F_CL,Zinc,MG_P_KG,43.5084,No
5064757,OES,SRM75F_CL,Iron,MG_P_KG,92.4038,No
5064757,OES,SRM75F_CL,Potassium,PCT_M-M,0.8112,No
5067481,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0537,No
5067481,OES,SRM75F_CL,Sodium,PCT_M-M,0.1939,No
5067481,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3457,No
5067481,OES,SRM75F_CL,Calcium,PCT_M-M,0.5492,No
5067481,OES,SRM75F_CL,Copper,MG_P_KG,4.0688,No
5067481,OES,SRM75F_CL,Zinc,MG_P_KG,41.6863,No
5067481,OES,SRM75F_CL,Potassium,PCT_M-M,0.774,No
5067481,OES,SRM75F_CL,Iron,MG_P_KG,117.037,No
5069853,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0542,No
5069853,OES,SRM75F_CL,Sodium,PCT_M-M,0.1898,No
5069853,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3546,No
5069853,OES,SRM75F_CL,Calcium,PCT_M-M,0.5313,No
5069853,OES,SRM75F_CL,Copper,MG_P_KG,3.9419,No
5069853,OES,SRM75F_CL,Zinc,MG_P_KG,42.3146,No
5069853,OES,SRM75F_CL,Potassium,PCT_M-M,0.7566,No
5069853,OES,SRM75F_CL,Iron,MG_P_KG,89.8824,No
5071065,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0542,No
5071065,OES,SRM75F_CL,Sodium,PCT_M-M,0.1941,No
5071065,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3565,No
5071065,OES,SRM75F_CL,Calcium,PCT_M-M,0.5326,No
5071065,OES,SRM75F_CL,Copper,MG_P_KG,4.1789,No
5071065,OES,SRM75F_CL,Zinc,MG_P_KG,42.3211,No
5071065,OES,SRM75F_CL,Iron,MG_P_KG,89.3924,No
5071065,OES,SRM75F_CL,Potassium,PCT_M-M,0.7784,No
5074179,OES,SRM75F_CL,Potassium,PCT_M-M,0.7175,No
5074179,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0548,No
5074179,OES,SRM75F_CL,Sodium,PCT_M-M,0.1811,No
5074179,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3645,No
5074179,OES,SRM75F_CL,Calcium,PCT_M-M,0.5356,No
5074179,OES,SRM75F_CL,Copper,MG_P_KG,4.0902,No
5074179,OES,SRM75F_CL,Zinc,MG_P_KG,42.1209,No
5074179,OES,SRM75F_CL,Iron,MG_P_KG,88.8351,No
5075524,OES,SRM75F_CL,Potassium,PCT_M-M,0.6904,No
5075524,OES,SRM75F_CL,Iron,MG_P_KG,87.3766,No
5075524,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0526,No
5075524,OES,SRM75F_CL,Sodium,PCT_M-M,0.1825,No
5075524,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3469,No
5075524,OES,SRM75F_CL,Calcium,PCT_M-M,0.528,No
5075524,OES,SRM75F_CL,Copper,MG_P_KG,3.9603,No
5075524,OES,SRM75F_CL,Zinc,MG_P_KG,40.7615,No
5075884,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0543,No
5075884,OES,SRM75F_CL,Sodium,PCT_M-M,0.1781,No
5075884,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3555,No
5075884,OES,SRM75F_CL,Calcium,PCT_M-M,0.5391,No
5075884,OES,SRM75F_CL,Copper,MG_P_KG,4.0208,No
5075884,OES,SRM75F_CL,Zinc,MG_P_KG,43.48,No
5075884,OES,SRM75F_CL,Potassium,PCT_M-M,0.7228,No
5075884,OES,SRM75F_CL,Iron,MG_P_KG,89.9795,No
5077805,OES,SRM75F_CL,Potassium,PCT_M-M,0.7113,No
5077805,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0534,No
5077805,OES,SRM75F_CL,Sodium,PCT_M-M,0.1745,No
5077805,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3509,No
5077805,OES,SRM75F_CL,Calcium,PCT_M-M,0.534,No
5077805,OES,SRM75F_CL,Copper,MG_P_KG,4.1183,No
5077805,OES,SRM75F_CL,Zinc,MG_P_KG,41.6895,No
5077805,OES,SRM75F_CL,Iron,MG_P_KG,88.5969,No
5078824,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0559,No
5078824,OES,SRM75F_CL,Sodium,PCT_M-M,0.1971,No
