"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY","DATE_STARTED"
"7288308","15/04/2015 07:40:40 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","55.477082726","15/04/2015 11:04:45 AM"
"7288649","15/04/2015 08:53:49 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","55.726708848","15/04/2015 01:30:07 PM"
"7293329","16/04/2015 08:43:58 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","55.776704127","16/04/2015 02:43:52 PM"
"7298472","17/04/2015 09:11:16 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.652292167","17/04/2015 09:59:10 AM"
"7304140","19/04/2015 07:07:18 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","55.869252422","19/04/2015 12:19:05 PM"
"7309351","21/04/2015 07:14:07 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.37208465","21/04/2015 10:31:16 AM"
"7314142","22/04/2015 08:59:25 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.347662588","22/04/2015 09:36:06 AM"
"7322926","24/04/2015 08:22:58 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.612835475","24/04/2015 09:02:53 AM"
"7333703","28/04/2015 08:15:21 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.212061149","28/04/2015 09:19:07 AM"
"7342376","30/04/2015 08:10:56 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","56.124152574","30/04/2015 09:21:05 AM"
"7357296","05/05/2015 08:36:32 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","55.319549324","05/05/2015 03:39:12 PM"
"7361574","06/05/2015 08:59:20 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","55.812574116","06/05/2015 10:13:37 AM"
"7376301","11/05/2015 08:20:58 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","55.440179527","11/05/2015 09:40:09 AM"
"7380563","12/05/2015 09:18:31 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.3411469","12/05/2015 10:25:09 AM"
"7384603","13/05/2015 07:28:17 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.14592502","13/05/2015 07:56:09 AM"
"7397597","16/05/2015 07:01:58 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.206509467","16/05/2015 08:09:17 AM"
"7400758","18/05/2015 09:04:50 AM","LACT010493","FNUNES","SRM11E","Lactose Monohydrate","PCT_M-M","55.156179262","18/05/2015 11:49:44 AM"
"7403951","19/05/2015 06:23:47 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.400661964","19/05/2015 07:11:29 AM"
"7423295","25/05/2015 06:35:57 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","55.858314352","25/05/2015 07:29:17 AM"
"7430143","27/05/2015 06:28:04 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.498658648","27/05/2015 07:43:27 AM"
"7434339","28/05/2015 08:25:21 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","55.192180265","28/05/2015 02:34:25 PM"
"7438208","29/05/2015 07:54:34 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","55.051966821","29/05/2015 02:18:25 PM"
"7441866","30/05/2015 06:52:56 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.735859402","30/05/2015 07:51:22 AM"
"7447271","02/06/2015 06:24:55 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.590647576","02/06/2015 07:34:32 AM"
"7450937","03/06/2015 06:28:40 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.381788538","03/06/2015 07:38:58 AM"
"7451315","03/06/2015 08:03:59 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","55.523948037","03/06/2015 09:01:52 AM"
"7466005","09/06/2015 09:08:07 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.407447301","09/06/2015 10:37:12 AM"
"7477763","12/06/2015 09:02:34 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","55.369432203","12/06/2015 11:53:59 AM"
"7494749","18/06/2015 06:37:18 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.663837904","18/06/2015 07:05:43 AM"
"7512491","24/06/2015 09:09:54 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.344173793","24/06/2015 09:23:39 AM"
"7531342","30/06/2015 06:33:37 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.663158415","30/06/2015 07:09:45 AM"
"7550016","06/07/2015 07:31:50 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.135014162","06/07/2015 02:27:54 PM"
"7552773","07/07/2015 07:31:20 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.882706041","07/07/2015 08:22:17 AM"
"7556626","08/07/2015 08:20:44 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.160010423","08/07/2015 08:59:27 AM"
