"","Cadmium","Lead","Arsenic","Chromium","Tin"
"1",0.567299518417745,1.1860115222976,-0.572876825755434,NA,NA
"2",-0.124567427440178,-0.520628144459144,-0.154582466083682,-0.337709196664915,NA
"3",-0.358955005016537,0.198999413283546,-0.994173298056413,NA,NA
"4",0.225601965565464,NA,0.704021745874129,1.04870907178787,NA
"5",-0.737363865200055,0.34094429852637,-0.291678942818205,0.42835975647416,NA
"6",-0.152806894618054,NA,0.0495611927034887,2.46724513796543,NA
"7",0.0731088428049424,-0.62296050358769,NA,NA,NA
"8",-0.0822082266733674,-1.18908952263756,-1.19031132316565,-0.763567403534152,NA
"9",0.849694190196487,-0.312662382359193,-0.71297541511918,-1.41127632431711,NA
"10",1.41730748047176,1.66466287951177,NA,-0.110505516463727,NA
"11",1.50202588200539,NA,-0.563870487867767,0.154168927749693,NA
"12",-0.635701783359705,1.64650713837606,2.25311186255325,NA,0.840367288274273
"13",1.05866624731276,0.0207430457693022,1.98692454276214,-0.11228983855955,NA
"14",NA,NA,0.109603445287953,-1.90374922276366,NA
"15",1.51614561559432,-0.160814365587799,1.94189285332379,0.0667371450544739,NA
"16",NA,-2.26688033733016,-0.619909923613263,NA,NA
"17",0.22842591228325,-0.418295785330597,0.365783722981659,NA,-0.921557283805783
"18",-0.776899119249077,-0.0947934887306718,-0.434779644811172,0.529471341904009,NA
"19",NA,-1.31948075443038,-0.0204881019783817,-0.170577693689696,1.81130668027453
"20",NA,NA,NA,NA,-0.216990793066326
"21",NA,2.47011757716873,-2.34012046015811,0.331114202251925,NA
"22",-1.06776563118118,0.327740123154945,-0.646928937276273,0.622850864918629,0.402173698795621
"23",NA,NA,0.817101321574865,1.40081529869651,NA
"24",-1.20613902035277,0.933481668319088,-0.953144425457028,-0.200613782302681,-0.0990546993783365
"25",NA,-1.25841144333754,0.428828088195343,-0.00790699595403104,NA
"26",-1.68903390909442,-0.613057372059123,0.250702738861438,0.0964758466514877,-0.089904485212889
"27",-0.570751008850595,-0.187222716330651,0.290730907251081,-0.472722901915357,NA
"28",-1.80481572452371,NA,NA,NA,NA
"29",-1.11859667210136,0.608328849797735,-0.456795137425474,NA,0.307621485752663
"30",1.03325072685267,-0.809469480709076,-0.167591620810314,NA,NA
"31",1.13208886197523,-0.297807685066338,-0.440783870069618,-1.39432526440681,NA
"32",NA,NA,NA,0.130377966472084,NA
"33",0.251017486025551,NA,NA,NA,NA
"34",-0.169750574924777,0.651242419754867,0.295734428299786,-1.10883372907548,NA
"35",0.338559834276961,0.672699204733435,-0.987168368588224,-1.35923359652234,NA
"36",1.18574384961319,0.0108399142407323,0.3497724556258,0.144949930254621,NA
"37",NA,-0.603154240530553,-0.575878938384657,-1.59446672615472,NA
"38",-0.923744348574024,0.299681250490665,-1.28637892730079,-0.67286436366326,NA
"39",-0.912448561702875,-0.134406014844949,-0.814046540303026,0.880685407764741,0.62991236246898
"40",-1.56195630679399,1.18271047845474,0.0185393622015189,0.70344274624654,-2.09888483976003
"41",-0.94068802888075,NA,NA,2.05863537802246,NA
"42",NA,-0.639465722801973,NA,NA,0.953219929648125
"43",1.51896956231211,1.45504659549039,1.82881327762305,0.570808137123858,0.429624341291963
"44",1.37777222642274,-1.58191373993747,0.287728794621858,-0.119129739926861,-0.815821475671723
"45",0.920292858141174,-1.05374672508045,NA,NA,NA
"46",-0.361778951734324,0.723865384297709,1.9298844028069,-1.02288888146011,-1.13201220961108
"47",NA,-0.309361338516335,0.315748512494607,1.12781401803592,NA
