"","SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","UNITS","ENTRY","REPORTABLE","NAME","z_score"
"38",14074762,2020-05-07 10:36:24,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05466,"T","ICPM01-20-0309",-14.9578867078293
"39",14075060,2020-05-07 11:11:51,"ICPM010611","CYCHUNG","SRM45G_CL","Cadmium","MG_P_KG",0.05317,"T","ICPM01-20-0310",-14.9593767078293
"40",14077182,2020-05-07 14:52:57,"ICPM010611","GVEMULA","SRM45G_CL","Cadmium","MG_P_KG",0.05497,"T","ICPM01-20-0311",-14.9575767078293
"41",14078873,2020-05-08 05:35:05,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05797,"T","ICPM01-20-0312",-14.9545767078293
"42",14087900,2020-05-11 05:50:57,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.0505,"T","ICPM01-20-0314",-14.9620467078293
"43",14088752,2020-05-11 10:25:25,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05054,"T","ICPM01-20-0315",-14.9620067078293
"44",14092767,2020-05-12 05:40:49,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.04824,"T","ICPM01-20-0316",-14.9643067078293
"45",14093062,2020-05-12 07:21:36,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05044,"T","ICPM01-20-0317",-14.9621067078293
"46",14095620,2020-05-12 14:06:36,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.05595,"T","ICPM01-20-0320",-14.9565967078293
"47",14096800,2020-05-12 16:39:09,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.0551,"T","ICPM01-20-0321",-14.9574467078293
"48",14097592,2020-05-12 18:50:41,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.05235,"T","ICPM01-20-0322",-14.9601967078293
"49",14098153,2020-05-13 05:53:44,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05915,"T","ICPM01-20-0323",-14.9533967078293
"50",14103702,2020-05-14 05:53:39,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05865,"T","ICPM01-20-0327",-14.9538967078293
"51",14103961,2020-05-14 07:23:20,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05703,"T","ICPM01-20-0328",-14.9555167078293
"52",14104170,2020-05-14 07:50:11,"ICPM010611",NA,"SRM45G_CL","Cadmium","MG_P_KG",0.05419,"T","ICPM01-20-0329",-14.9583567078293
"53",14109502,2020-05-15 05:47:30,"ICPM010611","YYU","SRM45G_CL","Cadmium","MG_P_KG",0.05249,"T","ICPM01-20-0330",-14.9600567078293
